sample_name,Assey_Type,AvgSpotLen,Bases,BioProject,BioSample,Size,Colection_Date,Consent,Experiment,ScientificName,Specie,Zootechnic_mangement,Flowering_type,Contry,Continent,City,Latitud,Longitud,Model,LibraryName,LibrarySource,SRAStudy,Platform,ID,LibraryLayout,CenterName,Notas
SRR12632483,WGS,211,8143812,PRJNA662672,SAMN16092483,3 Mb,01/08/2018,public,SRX9114714,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Solna,59.36,18.03,NextSeq 500,NSE02_S29_,GENOMIC,SRP281932,ILLUMINA,NSE02,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632482,WGS,213,677095055,PRJNA662672,SAMN16092484,258 Mb,01/08/2018,public,SRX9114715,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Skals,57.09,18.26,NextSeq 500,NSE03_S30_,GENOMIC,SRP281932,ILLUMINA,NSE03,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632481,WGS,234,797957454,PRJNA662672,SAMN16092485,304 Mb,01/08/2018,public,SRX9114716,honey metagenome,not colected,not colected,not colected,Sweden,Europa,Vamlingbo,56.95,18.24,NextSeq 500,NSE04_S31_,GENOMIC,SRP281932,ILLUMINA,NSE04,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632490,WGS,240,826061676,PRJNA662672,SAMN16092476,304 Mb,01/08/2018,public,SRX9114707,honey metagenome,not colected,not colected,not colected,Finland,Europa,Ala-Vieksi,64.21,28.99,NextSeq 500,NFI22_S22_,GENOMIC,SRP281932,ILLUMINA,NFI22,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632489,WGS,174,519657989,PRJNA662672,SAMN16092477,192 Mb,01/08/2018,public,SRX9114708,honey metagenome,not colected,not colected,not colected,Finland,Europa,Inga,60.09,24.18,NextSeq 500,NFI23_S23_,GENOMIC,SRP281932,ILLUMINA,NFI23,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632488,WGS,170,420741996,PRJNA662672,SAMN16092478,158 Mb,01/08/2018,public,SRX9114709,honey metagenome,not colected,not colected,not colected,Finland,Europa,Levaniemi,63.05,27.23,NextSeq 500,NFI24_S24_,GENOMIC,SRP281932,ILLUMINA,NFI24,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632487,WGS,181,453017927,PRJNA662672,SAMN16092479,170 Mb,01/08/2018,public,SRX9114710,honey metagenome,not colected,not colected,not colected,Finland,Europa,Helsinki,60.16,25.02,NextSeq 500,NFI25_S25_,GENOMIC,SRP281932,ILLUMINA,NFI25,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632486,WGS,198,468474293,PRJNA662672,SAMN16092480,179 Mb,01/08/2018,public,SRX9114711,honey metagenome,not colected,not colected,not colected,Finland,Europa,Urjala,61.06,23.59,NextSeq 500,NFI26_S26_,GENOMIC,SRP281932,ILLUMINA,NFI26,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632491,WGS,184,459253630,PRJNA662672,SAMN16092470,173 Mb,01/08/2018,public,SRX9114706,honey metagenome,not colected,not colected,not colected,Estonia,Europa,Leisi,58.57,22.68,NextSeq 500,NES16_S16_,GENOMIC,SRP281932,ILLUMINA,NES16,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632495,WGS,196,484497670,PRJNA662672,SAMN16092464,181 Mb,01/08/2018,public,SRX9114702,honey metagenome,not colected,not colected,not colected,Finland,Europa,Koylionkyla,60.94,22.98,NextSeq 500,NFI10_S10_,GENOMIC,SRP281932,ILLUMINA,NFI10,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632494,WGS,213,616872021,PRJNA662672,SAMN16092465,232 Mb,01/08/2018,public,SRX9114703,honey metagenome,not colected,not colected,not colected,Finland,Europa,Koylionkyla,60.94,22.98,NextSeq 500,NFI11_S11_,GENOMIC,SRP281932,ILLUMINA,NFI11,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632493,WGS,178,1311073,PRJNA662672,SAMN16092466,0 Mb,01/08/2018,public,SRX9114704,honey metagenome,not colected,not colected,not colected,Finland,Europa,Onkimaa,60.62,24.01,NextSeq 500,NFI12_S12_,GENOMIC,SRP281932,ILLUMINA,NFI12,PAIRED,UNIVERSITY OF HELSINKI,
SRR12632492,WGS,187,550130876,PRJNA662672,SAMN16092475,206 Mb,01/08/2018,public,SRX9114705,honey metagenome,not colected,not colected,not colected,Finland,Europa,Torvenkyla,64.13,23.78,NextSeq 500,NFI21_S21_,GENOMIC,SRP281932,ILLUMINA,NFI21,PAIRED,UNIVERSITY OF HELSINKI,
