Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
23_Scapto.009	Bacteria	5449	104	58	2.59	0.94	100.00	1991178	0	394	394	10482	10482	5053	5053	155848	155848	42.4	7.33	81.05	11	2151	92	6	6	0	0	0
23_Scapto.010	Bacteria	5449	104	58	0.00	0.00	0.00	699660	0	84	84	19537	19537	8329	8329	71072	71072	48.3	15.41	79.95	11	743	104	0	0	0	0	0
23_Scapto.011	Bacteria	5449	104	58	62.38	7.59	42.86	1610301	0	565	565	3401	3401	2850	2850	39415	39415	40.3	4.76	89.89	11	1782	34	65	4	1	0	0
23_Scapto.012	Bacteria	5449	104	58	74.51	28.53	100.00	835240	0	296	296	3290	3290	2821	2821	15416	15416	41.1	3.67	90.89	11	1036	40	44	16	4	0	0
23_Scapto.013	Bacteria	5449	104	58	8.78	1.72	100.00	3225559	0	1093	1093	3640	3640	2951	2951	50520	50520	31.4	7.42	81.22	11	3557	98	5	1	0	0	0
23_Scapto.014	Bacteria	5449	104	58	35.79	18.34	80.00	1053090	0	255	255	6696	6696	4129	4129	27543	27543	36.6	1.37	88.24	11	1307	70	16	17	1	0	0
23_Scapto.015	Bacteria	5449	104	58	0.00	0.00	0.00	225629	0	72	72	5080	5080	3133	3133	25783	25783	36.1	12.63	92.55	11	151	104	0	0	0	0	0
23_Scapto.016	Bacteria	5449	104	58	17.87	0.00	0.00	1091920	0	497	497	2331	2331	2197	2197	38184	38184	40.4	4.12	89.01	11	1210	89	15	0	0	0	0
23_Scapto.017	Bacteria	5449	104	58	56.03	30.17	100.00	1053711	0	318	318	4634	4634	3313	3313	19493	19493	38.2	1.33	92.88	11	1180	66	18	20	0	0	0
23_Scapto.018	Bacteria	5449	104	58	5.17	1.72	0.00	178946	0	67	67	3154	3154	2670	2670	13901	13901	41.5	1.44	88.81	11	223	100	2	2	0	0	0
23_Scapto.019	Bacteria	5449	104	58	8.10	1.72	100.00	1674942	0	432	432	6070	6070	3877	3877	73363	73363	35.3	1.98	86.12	11	2083	98	5	1	0	0	0
23_Scapto.020	Bacteria	5449	104	58	17.24	10.34	22.22	395959	0	75	75	10305	10305	5279	5279	69602	69602	41.6	1.28	88.17	11	445	93	6	3	2	0	0
23_Scapto.021	Bacteria	5449	104	58	28.28	21.79	57.58	596281	0	158	158	5616	5616	3773	3773	59602	59602	41.4	1.22	90.65	11	673	50	23	18	10	3	0
23_Scapto.022	Bacteria	5449	104	58	51.57	23.28	72.22	870795	0	217	217	6793	6793	4012	4012	50738	50738	38.4	1.31	87.63	11	1094	42	30	15	15	2	0
23_Scapto.023	Bacteria	5449	104	58	3.61	0.00	0.00	1718119	0	798	798	2203	2203	2153	2153	30474	30474	36.6	1.79	92.27	11	1596	101	3	0	0	0	0
23_Scapto.024	Bacteria	5449	104	58	31.10	14.66	0.00	2413404	0	1065	1065	2487	2487	2266	2266	48197	48197	34.6	1.50	82.54	11	3348	76	19	9	0	0	0
23_Scapto.025	Bacteria	5449	104	58	19.04	1.72	0.00	7333230	0	3575	3575	2109	2109	2051	2051	71713	71713	30.1	7.26	79.13	11	9632	72	31	1	0	0	0
23_Scapto.026	Bacteria	5449	104	58	38.97	23.28	75.00	1818802	0	705	705	2965	2965	2579	2579	102478	102478	45.1	2.05	92.70	11	1976	63	20	13	3	4	1
23_Scapto.027	Bacteria	5449	104	58	43.79	16.21	86.96	1079238	0	514	514	2239	2239	2099	2099	14189	14189	36.2	1.36	86.34	11	1641	71	25	4	3	0	1
23_Scapto.028	Bacteria	5449	104	58	60.78	48.43	50.00	1103671	0	483	483	2555	2555	2285	2285	26809	26809	38.7	1.13	89.86	11	1482	55	26	17	3	3	0
23_Scapto.029	Bacteria	5449	104	58	63.61	40.67	67.74	1867569	0	801	801	2726	2726	2331	2331	15076	15076	41.5	1.25	88.65	11	2400	54	31	13	6	0	0
23_Scapto.030	Bacteria	5449	104	58	46.55	2.59	0.00	1419325	0	772	772	1911	1911	1838	1838	9016	9016	36.5	1.80	85.17	11	1981	68	34	2	0	0	0
23_Scapto.031	Bacteria	5449	104	58	56.90	13.06	20.59	1287342	0	817	817	1525	1525	1575	1575	9293	9293	47.1	2.51	86.28	11	1881	28	44	31	1	0	0
23_Scapto.032	Bacteria	5449	104	58	75.71	37.02	23.26	1920080	0	1071	1071	1796	1796	1792	1792	8390	8390	44.6	2.66	86.43	11	2543	19	50	31	4	0	0
39_Melli.001	Bacteria	5449	104	58	41.69	29.31	80.00	560982	0	139	139	5085	5085	4035	4035	17473	17473	42.8	3.00	89.28	11	653	52	41	3	5	2	1
39_Melli.002	Bacteria	5449	104	58	49.11	53.27	82.35	603071	0	127	127	7414	7414	4748	4748	20320	20320	37.8	2.48	90.47	11	774	46	24	15	10	4	5
39_Melli.003	Bacteria	5449	104	58	48.62	21.87	77.78	617060	0	146	146	6011	6011	4226	4226	19528	19528	43.0	2.82	90.39	11	694	59	31	12	2	0	0
39_Melli.004	Bacteria	5449	104	58	78.92	57.64	66.67	1616081	0	442	442	4840	4840	3656	3656	30222	30222	42.0	3.43	89.38	11	1915	22	51	21	8	2	0
39_Melli.005	Bacteria	5449	104	58	0.00	0.00	0.00	481842	0	45	45	16482	16482	10707	10707	36678	36678	50.9	5.59	76.92	11	435	104	0	0	0	0	0
39_Melli.006	Bacteria	5449	104	58	43.23	25.86	66.67	1258479	0	443	443	3309	3309	2840	2840	14411	14411	45.2	2.87	89.98	11	1523	70	19	12	3	0	0
39_Melli.007	Bacteria	5449	104	58	62.46	32.16	60.53	1095062	0	328	328	4440	4440	3338	3338	28200	28200	38.5	3.68	87.16	11	1401	42	37	20	4	1	0
39_Melli.008	Bacteria	5449	104	58	76.65	63.79	76.09	2182538	0	752	752	3490	3490	2902	2902	37652	37652	44.3	3.33	89.28	11	2666	27	36	26	8	7	0
39_Melli.009	Bacteria	5449	104	58	31.60	12.54	81.25	1285685	0	366	366	4704	4704	3512	3512	35701	35701	34.2	4.56	82.26	11	1477	74	21	7	1	1	0
39_Melli.010	Bacteria	5449	104	58	47.99	32.99	97.30	2570195	0	1073	1073	2634	2634	2395	2395	20441	20441	45.8	4.15	89.38	11	2925	64	18	16	5	1	0
39_Melli.011	Bacteria	5449	104	58	37.92	7.76	85.71	1639984	0	584	584	3591	3591	2808	2808	27566	27566	39.1	4.44	86.85	11	1737	74	25	4	1	0	0
39_Melli.012	Bacteria	5449	104	58	49.84	31.03	91.67	2187538	0	869	869	2840	2840	2517	2517	26562	26562	44.2	3.21	89.41	11	2485	63	24	9	3	5	0
39_Melli.013	Bacteria	5449	104	58	69.73	51.11	78.57	1966498	0	537	537	5267	5267	3662	3662	29856	29856	38.6	2.05	87.62	11	2222	37	35	26	2	4	0
39_Melli.014	Bacteria	5449	104	58	31.97	20.85	82.61	1627054	0	681	681	2679	2679	2389	2389	34690	34690	46.2	3.08	90.80	11	1916	77	17	7	2	0	1
39_Melli.015	Bacteria	5449	104	58	11.69	0.00	0.00	3052261	0	891	891	4447	4447	3425	3425	47747	47747	30.7	5.37	78.01	11	3398	82	22	0	0	0	0
39_Melli.016	Bacteria	5449	104	58	23.07	18.57	69.57	1101229	0	390	390	3457	3457	2823	2823	36942	36942	35.8	1.37	83.02	11	1358	75	20	5	2	2	0
39_Melli.017	Bacteria	5449	104	58	56.48	16.95	86.67	1233224	0	366	366	4722	4722	3369	3369	24053	24053	39.0	1.42	87.67	11	1577	54	31	15	3	1	0
39_Melli.018	Bacteria	5449	104	58	37.15	27.59	68.42	1899231	0	795	795	2752	2752	2388	2388	33716	33716	44.6	3.32	89.74	11	2415	75	16	10	3	0	0
39_Melli.019	Bacteria	5449	104	58	2.30	1.18	33.33	750498	0	98	98	12801	12801	7658	7658	41129	41129	43.6	2.86	27.13	11	578	95	6	3	0	0	0
39_Melli.020	Bacteria	5449	104	58	99.69	5.06	100.00	2946493	0	125	125	127694	127694	23571	23571	454573	454573	49.3	5.20	82.16	11	2550	2	89	13	0	0	0
39_Melli.021	Bacteria	5449	104	58	0.00	0.00	0.00	2504640	0	1309	1309	1942	1942	1913	1913	17943	17943	41.5	3.06	97.60	11	1561	104	0	0	0	0	0
39_Melli.022	Bacteria	5449	104	58	89.66	0.00	0.00	1302074	0	120	120	121090	121090	10850	10850	204524	204524	27.5	1.93	85.26	11	1335	20	84	0	0	0	0
39_Melli.023	Bacteria	5449	104	58	9.20	0.63	100.00	1436783	0	646	646	2479	2479	2224	2224	29610	29610	48.5	2.17	87.64	11	2040	87	13	4	0	0	0
39_Melli.024	Bacteria	5449	104	58	69.32	53.55	70.31	4150905	0	1685	1685	2773	2773	2463	2463	74179	74179	39.3	1.50	86.05	11	5803	36	36	22	6	4	0
39_Melli.025	Bacteria	5449	104	58	93.10	18.65	47.62	2021718	0	376	376	25210	25210	5376	5376	139994	139994	40.9	2.01	90.45	11	2138	7	78	18	1	0	0
39_Melli.026	Bacteria	5449	104	58	13.10	6.90	50.00	9035251	0	4639	4639	1993	1993	1947	1947	29576	29576	33.9	2.33	85.70	11	9439	93	10	0	0	0	1
39_Melli.027	Bacteria	5449	104	58	58.87	51.02	66.07	3814064	0	1747	1747	2358	2358	2183	2183	30380	30380	43.5	1.79	88.95	11	4956	56	28	13	4	1	2
39_Melli.028	Bacteria	5449	104	58	3.45	0.00	0.00	5101946	0	2283	2283	2504	2504	2234	2234	19606	19606	25.5	2.00	77.42	11	6346	102	2	0	0	0	0
