BioSample,SRA,Geographic location,Latitude,Longitude
SAMN42493270,SRS21995737,Estonia,,
SAMN42493271,SRS21995907,Estonia,,
SAMN42493272,SRS21995739,Estonia,,
SAMN42493273,SRS21995738,Finland,,
SAMN42493274,SRS21995740,Finland,,
SAMN42493275,SRS21995741,Finland,,
SAMN42493276,SRS21995742,Greece:Rhodes Island,,
SAMN42493277,SRS21995743,Greece:Rhodes Island,,
SAMN42493280,SRS21995746,Ukraine,,
SAMN42493281,SRS21995748,Ukraine,,
SAMN42493282,SRS21995749,Ukraine,,
SAMN42493283,SRS21995750,Ukraine,,
SAMN42493284,SRS21995751,China,,
SAMN42493285,SRS21995752,China,,
SAMN42493286,SRS21995918,China,,
SAMN42493287,SRS21995828,China,,
SAMN42493288,SRS21995829,Estonia,,
SAMN42493289,SRS21995917,Estonia,,
SAMN42493290,SRS21995906,Estonia,,
SAMN42493291,SRS21995830,Estonia,,
SAMN42493292,SRS21995831,Estonia,,
SAMN42493293,SRS21995832,Estonia,,
SAMN42493294,SRS21995908,Estonia,,
SAMN42493295,SRS21995909,Estonia,,
SAMN42493296,SRS21995911,Estonia,,
SAMN42493297,SRS21995912,Poland,,
SAMN42493304,SRS21995823,Ukraine,,
SAMN42493305,SRS21995824,Ukraine,,
SAMN42493306,SRS21995826,Yemen,,
SAMN42493307,SRS21995827,Estonia,,
SAMN42493308,SRS21996023,Estonia,,
SAMN42493309,SRS21996024,Estonia,,
SAMN42493310,SRS21996025,Estonia,,
SAMN42493311,SRS21996026,Estonia,,
SAMN42493312,SRS21995833,Estonia,,
SAMN42493313,SRS21995834,Estonia,,
SAMN42493314,SRS21995835,Estonia,,
SAMN42493315,SRS21995837,Estonia,,
SAMN42493316,SRS21995836,Estonia,,
SAMN42493317,SRS21995839,Estonia,,
SAMN42493318,SRS21995840,Estonia,,
SAMN42493319,SRS21995841,Estonia,,
SAMN42493320,SRS21995842,Estonia,,
SAMN42493321,SRS21995843,Estonia,,
SAMN42493322,SRS21996018,Estonia,,
